Category,English Sentence,Traditional Chinese Translation,Grammar / Usage Note
Health,"She maintains a healthy lifestyle by eating well, sleeping enough, and managing her stress levels.",她通過飲食均衡、睡眠充足和管理壓力水準來保持健康的生活方式。,by + gerund list for method
Health,He has been on medication for six months and his condition has improved significantly.,他已經服藥六個月了，他的狀況顯著改善了。,present perfect continuous + present perfect result
Health,I had a health scare last year that made me completely rethink my lifestyle choices.,我去年有過一次健康危機，讓我完全重新思考了我的生活方式選擇。,that clause for impact of event
Health,She goes for a medical check-up every year to make sure everything is fine.,她每年都去做一次健康檢查，以確保一切正常。,frequency + purpose with to + infinitive
Health,"He is allergic to penicillin, so he always tells his doctor before taking any medication.",他對青黴素過敏，所以他在服用任何藥物之前總是告訴醫生。,so clause for consequence of allergy
Health,I find that regular exercise helps me manage my stress and sleep much better at night.,我發現定期運動幫助我管理壓力，並在夜間睡得更好。,I find that + helps me + infinitive
Health,She had knee surgery earlier this year and has been going to physiotherapy twice a week since then.,她今年早些時候做了膝蓋手術，從那以後每週做兩次物理治療。,past simple + present perfect continuous since then
Health,"He eats a balanced diet, avoids alcohol, and exercises regularly, which is why he looks so healthy.",他飲食均衡、避免飲酒並定期運動，這就是他看起來那麼健康的原因。,list + which is why clause
Health,I try to get at least seven hours of sleep each night because I notice a huge difference in how I feel.,我每晚嘗試至少睡七個小時，因為我注意到這對我的感覺有很大的影響。,try to + at least + because clause
Health,She was told that her cholesterol was too high and that she needed to change her diet immediately.,她被告知她的膽固醇太高了，需要立即改變飲食。,past passive reporting with that clauses
Health,He uses meditation and breathing exercises to manage anxiety without relying on medication.,他使用冥想和呼吸練習來管理焦慮，而不依賴藥物。,without + gerund for alternative method
Health,I booked an appointment with my GP as soon as I noticed the symptoms.,我一注意到症狀就立即預約了全科醫生。,as soon as + past simple for prompt action
Health,She has been following a plant-based diet for two years and says she has never felt better.,她遵循植物性飲食已有兩年，她說她從未感覺這麼好過。,present perfect continuous + says + present perfect
Health,He takes preventative health seriously and gets all recommended vaccinations and screenings.,他非常重視預防保健，接受所有推薦的疫苗接種和篩檢。,takes seriously + and for compound habit
Travel,"I have always wanted to visit Japan; the culture, food, and scenery look absolutely stunning.",我一直想去日本；那裡的文化、食物和風景看起來令人嘆為觀止。,present perfect always wanted + semi-colon detail
Travel,She booked the flights months in advance to get a better deal.,她提前幾個月訂了機票，以獲得更好的價格。,past simple with to + infinitive of purpose
Travel,"We got completely lost on our first day in the city, but ended up discovering some amazing places.",我們在城市的第一天完全迷路了，但最終發現了一些令人驚奇的地方。,but ended up + gerund for unexpected positive outcome
Travel,He prefers travelling off-season to avoid the crowds and to benefit from lower prices.,他更喜歡在淡季旅行，以避免人潮並享受較低的價格。,prefer + gerund + to + infinitive list
Travel,I always research a destination thoroughly before I travel so that I make the most of my time.,我在旅行前總是徹底研究目的地，以充分利用我的時間。,always + before clause + so that purpose
Travel,"She packed light for her trip, bringing only a carry-on bag to avoid checked luggage fees.",她輕裝旅行，只帶了一個手提行李，以避免托運行李費用。,past simple with only + infinitive of purpose
Travel,We stayed in a small family-run guesthouse which gave us a more authentic experience of the local culture.,我們住在一家小型家庭式旅館，這讓我們對當地文化有了更真實的體驗。,which clause for resulting experience
Travel,He has been to over thirty countries and says that every trip teaches him something new.,他去過三十多個國家，他說每次旅行都能讓他學到新東西。,present perfect + says + present simple with every
Travel,I missed my connecting flight because my first flight was delayed by two hours.,我錯過了轉機航班，因為第一班飛機延誤了兩個小時。,past simple + because clause with passive
Travel,She always travels with travel insurance because she believes it is not worth the risk.,她旅行時總是購買旅遊保險，因為她認為冒那個風險不值得。,always + because + believe clause
Travel,"We rented a car and drove along the coast, stopping at small villages along the way.",我們租了一輛車沿著海岸線開，沿途在小村莊停留。,past simple with present participle for manner
Travel,"He learned a few basic phrases in the local language before his trip, which the locals really appreciated.",他出發前學了幾句當地語言的基本短語，當地人對此非常讚賞。,past simple + which clause for positive reaction
Travel,I find that solo travel forces you to be more independent and open to new experiences.,我發現獨自旅行迫使你更獨立，並對新的體驗更加開放。,I find that + forces you to for insight
Travel,She spent three months backpacking across Southeast Asia after finishing her degree.,她完成學業後，花了三個月的時間背包遊覽東南亞。,past simple + after + gerund
Travel,"We were upgraded to business class on our flight home, which was a wonderful surprise.",我們在回家的航班上被升等到商務艙，這是一個美妙的驚喜。,passive upgrade + which clause
Travel,He always keeps copies of his important documents in a separate bag when he travels.,他旅行時總是把重要文件的副本放在另一個包裡。,always + when clause for safety habit
Travel,I try to travel as sustainably as possible by choosing direct flights and staying in eco-friendly accommodation.,我盡量以盡可能可持續的方式旅行，選擇直飛航班並住在環保住宿。,try to + by + gerund list for method
Travel,She fell in love with the city on her first visit and moved there permanently two years later.,她在第一次訪問這座城市時就愛上了它，兩年後她永久搬到了那裡。,fell in love + and past simple sequence
Travel,"The trip was not what we had expected, but it turned out to be one of our best holidays ever.",這次旅行不是我們所預期的，但它結果成為我們有史以來最好的假期之一。,not what + past perfect + turned out to be
Travel,"He made a point of trying the local street food wherever he went, no matter how unusual it looked.",他特意在每到一個地方都嘗試當地的街頭食物，無論看起來多麼不尋常。,made a point of + gerund + no matter how
Shopping & Money,She compared prices across several websites before making her final decision.,她在做最終決定之前比較了幾個網站的價格。,past simple + before + gerund
Shopping & Money,He always sticks to a budget when he goes food shopping to avoid overspending.,他去採買食物時總是嚴格遵守預算，以避免超支。,always + when clause + to + infinitive
Shopping & Money,"I returned the jacket because it was the wrong size, and the shop gave me a full refund.",我退了那件夾克，因為尺寸不對，商店給了我全額退款。,past sequence with because + result
Shopping & Money,She is saving up to buy a new laptop and tries not to spend money on things she doesn't need.,她正在存錢買新筆記型電腦，並盡量不在不需要的東西上花錢。,present continuous + tries not to
Shopping & Money,He bought the concert tickets months in advance because they sold out quickly last year.,他提前幾個月買了演唱會門票，因為去年門票很快就售罄了。,past simple with because + past simple explanation
Shopping & Money,I always check reviews before buying anything online to make sure the quality is good.,我在網上購買任何東西之前總是查看評論，以確保品質良好。,always + before + gerund + to + infinitive
Shopping & Money,She found a great second-hand sofa online and paid half the price of a new one.,她在網上找到了一張很棒的二手沙發，只花了新的一半的價錢。,past simple with comparative price
Shopping & Money,He has been trying to cut down on unnecessary spending since he set a savings goal.,自從他設定了儲蓄目標以來，他一直在嘗試減少不必要的支出。,present perfect continuous + since clause
Shopping & Money,I bought too many things during the sale and later regretted spending so much.,我在特賣期間買了太多東西，後來後悔花了那麼多錢。,past simple + later + past simple regret
Shopping & Money,She uses a budgeting app to track her expenses and has saved significantly since she started using it.,她使用預算應用程式來追蹤支出，自從她開始使用它以來已經節省了大量資金。,present simple + present perfect since
Shopping & Money,He always pays his credit card bill in full each month to avoid paying interest.,他每個月都會全額支付信用卡帳單，以避免支付利息。,always + to + infinitive for financial habit
Shopping & Money,I was shocked at how much I had spent when I reviewed my bank statement at the end of the month.,當我在月底查看銀行對帳單時，我對自己花了多少錢感到震驚。,was shocked at + how much + past perfect
Shopping & Money,She negotiated a lower price when she bought her car by doing research beforehand.,她在購車時通過事先做研究協商到了更低的價格。,past simple + by + gerund for method
Shopping & Money,He prefers paying in cash rather than using a card because it helps him spend less.,他更喜歡用現金付款而不是使用卡，因為這幫助他花費更少。,prefer + gerund + because clause
Shopping & Money,I set up an automatic transfer to my savings account on payday so that I save before I spend.,我在發薪日設置了自動轉帳到我的儲蓄帳戶，這樣我就能在花費之前先儲蓄。,set up automatic transfer + so that clause
Technology,"She uses her smartphone for almost everything, from banking to ordering food and navigating the city.",她幾乎用智慧型手機做所有事情，從銀行業務到訂餐以及在城市中導航。,from... to for listing uses
Technology,He is very careful about his online privacy and never shares personal information on unfamiliar websites.,他非常注重自己的網路隱私，從不在不熟悉的網站上分享個人資訊。,is careful about + and never clause
Technology,I find it difficult to switch off from work because I am always connected to my email.,我發現很難從工作中抽身，因為我總是和電子郵件保持連線。,I find it difficult + because + always
Technology,She teaches herself new software by watching tutorial videos online in her spare time.,她在空閒時間通過觀看網路教學影片自學新軟體。,teaches herself + by + gerund
Technology,He had his identity stolen online and had to spend months sorting out the damage.,他的身份在網路上被盜，不得不花幾個月的時間處理損失。,past passive + had to + gerund
Technology,I back up all my important files to the cloud every week in case my computer crashes.,我每週都將所有重要文件備份到雲端，以防我的電腦崩潰。,frequency + in case clause for precaution
Technology,She has been following the latest developments in artificial intelligence with great interest.,她一直在密切關注人工智慧的最新發展。,present perfect continuous for ongoing interest
Technology,He prefers using a laptop for work and a tablet for reading and entertainment.,他更喜歡用筆記型電腦工作，用平板電腦閱讀和娛樂。,prefer + gerund + and for parallel structure
Technology,I deleted my social media accounts because I found them too distracting and time-consuming.,我刪除了我的社群媒體帳戶，因為我發現它們太分散注意力且耗時。,past simple + because I found clause
Technology,She uses video calling to stay in touch with her family who live overseas.,她使用視訊通話與住在海外的家人保持聯繫。,to + infinitive for purpose + who clause
Technology,He set up two-factor authentication on all his accounts after his email was hacked.,在他的電子郵件被駭客入侵後，他在所有帳戶上設置了雙重驗證。,past simple + after + passive past simple
Technology,I try to limit the amount of time I spend on my phone to two hours a day outside of work.,我嘗試將工作以外的時間使用手機限制在每天兩小時以內。,try to limit + to + time expression
Technology,She learned to code online during the pandemic and now works as a junior developer.,她在疫情期間在網上學習了編程，現在作為初級開發人員工作。,past simple + and now + present simple
Technology,He is concerned about how much personal data companies collect without users' knowledge.,他擔心企業在用戶不知情的情況下收集了多少個人資料。,is concerned about + how much clause
Technology,"I use a password manager to create and store strong, unique passwords for every account.",我使用密碼管理器為每個帳戶創建和存儲強而獨特的密碼。,to + infinitive list for tool purpose
Problem Solving,I realised there was a problem when I noticed the numbers didn't add up.,我注意到數字對不上時意識到有問題。,past simple sequence with when clause
Problem Solving,She stayed calm and thought through the options carefully before making a decision.,她保持冷靜，在做決定之前仔細考慮了各種選擇。,past simple + before + gerund
Problem Solving,He asked for help as soon as he realised he couldn't solve the problem on his own.,他一意識到自己無法獨立解決問題就立即尋求了幫助。,as soon as + past simple for prompt action
Problem Solving,"I broke the problem down into smaller steps, which made it much easier to manage.",我把問題分解成更小的步驟，這讓管理起來容易多了。,broke down into + which clause for benefit
Problem Solving,She contacted the customer service team immediately and the issue was resolved within an hour.,她立即聯繫了客服團隊，問題在一個小時內得到了解決。,past simple + passive resolution
Problem Solving,He tried several different approaches before he finally found one that worked.,他嘗試了幾種不同的方法，最終找到了一個有效的方法。,before + finally for persistence
Problem Solving,I had to think on my feet when the original plan fell through at the last minute.,當原計劃在最後一刻失敗時，我不得不臨機應變。,think on my feet for adaptability
Problem Solving,She set up a meeting to discuss the issue openly so that everyone could share their perspective.,她安排了一次會議公開討論這個問題，以便每個人都能分享自己的觀點。,so that + could for collective purpose
Problem Solving,He identified the root cause of the problem by analysing the data carefully.,他通過仔細分析數據找出了問題的根本原因。,by + gerund for method
Problem Solving,I should have double-checked the information before sending the report.,我應該在發送報告之前再次確認那些資訊。,should have + past participle for regret
Problem Solving,She came up with a creative solution that saved the company both time and money.,她想出了一個創造性的解決方案，為公司節省了時間和金錢。,came up with + that clause for impact
Problem Solving,"He remained positive throughout the process, which helped keep the team motivated.",他在整個過程中保持積極，這有助於保持團隊的積極性。,remained + which clause for team impact
Problem Solving,I learned from the mistake and put measures in place to make sure it doesn't happen again.,我從這個錯誤中學習，並採取了措施確保它不會再次發生。,learned from + put measures in place
Problem Solving,She delegated different parts of the problem to the most suitable team members.,她將問題的不同部分分配給了最合適的團隊成員。,delegate + to most suitable for
Problem Solving,He always considers the long-term consequences before making any major decision.,他在做任何重大決定之前總是考慮長期後果。,always + before + gerund for cautious habit
