Category,English Phrase,Traditional Chinese,Cultural Context
Everyday Admin,TV licence,電視牌照費,an annual fee required to watch live TV or use BBC iPlayer in the UK
Everyday Admin,post,郵件,"the British word for mail — post box, post code, Royal Mail"
Everyday Admin,postcode,郵遞區號,the UK equivalent of a zip code — essential for navigation and delivery
Everyday Admin,Royal Mail,英國皇家郵政,the UK's national postal service
Everyday Admin,sort code,銀行分行代碼,a six-digit code identifying a UK bank branch — needed for transfers
Education,Ofsted,英國教育標準局,the body that inspects and rates schools in England — an Ofsted report determines a school's reputation
Education,GCSEs,英國中學會考,General Certificate of Secondary Education — taken at age 16; key qualifications
Education,A levels,英國高中會考,Advanced levels — taken at age 18; the main qualification for university entry
Education,sixth form,高中部,the final two years of secondary school (ages 16-18) where A levels are studied
Education,uni,大學,informal abbreviation for university — used constantly in everyday speech
Education,fresher,大學新生,a first-year university student — fresher's week is the first week of term
Education,halls,學生宿舍,short for halls of residence — university student accommodation
Education,dissertation,畢業論文,a long research essay required for most UK undergraduate degrees
Education,tuition fees,學費,"UK universities charge tuition fees — currently up to 9,250 pounds per year in England"
Education,student loan,學生貸款,a government loan to cover tuition fees and living costs repaid after graduation based on income
Holidays & Traditions,bank holiday,國定假日,a public holiday when banks and most businesses are closed — the UK has 8 per year in England
Holidays & Traditions,Boxing Day,節禮日,26th December — a public holiday traditionally for giving gifts to service workers
Holidays & Traditions,Guy Fawkes Night,蓋伊福克斯之夜（煙火節）,5th November — bonfire and fireworks night commemorating the failed Gunpowder Plot of 1605
Holidays & Traditions,Bonfire Night,篝火之夜,the common name for Guy Fawkes Night — marked with bonfires and fireworks
Holidays & Traditions,Pancake Day,薄餅日,Shrove Tuesday — the day before Lent begins; traditionally a day to eat pancakes
Holidays & Traditions,half term,學期中假期,a one-week school holiday in the middle of each school term
Holidays & Traditions,the FA Cup,英足總盃,the Football Association Cup — the oldest football knockout competition in the world
Holidays & Traditions,the Proms,逍遙音樂會,the BBC Proms — an annual classical music festival held at the Royal Albert Hall in summer
Holidays & Traditions,the Queen's / King's Speech,國王聖誕致詞,a televised speech by the monarch on Christmas Day — a traditional part of Christmas in the UK
