Category,English Expression,Traditional Chinese,Usage Note
Everyday Slang,nip down,快去一下,to go somewhere quickly for a short time
Everyday Slang,pop round,順路去拜訪,to visit someone briefly and casually
Everyday Slang,daft,傻的 / 蠢的,"silly or stupid, usually in an affectionate way"
Everyday Slang,barmy,瘋瘋癲癲,slightly crazy or eccentric
Everyday Slang,bonkers,瘋了,completely crazy
Everyday Slang,crackers,瘋狂的,mad or crazy
Everyday Slang,minted,很有錢,very wealthy
Everyday Slang,bog standard,普普通通,completely ordinary with no special features
Everyday Slang,doddle,小菜一碟,something very easy to do
Everyday Slang,lost the plot,失去理智,to become irrational or completely misunderstand a situation
Everyday Slang,over the moon,開心極了,extremely happy and delighted
Everyday Slang,under the weather,身體不舒服,feeling slightly ill or unwell
Everyday Slang,in a pickle,陷入麻煩,in a difficult or awkward situation
Everyday Slang,Bob's your uncle,就是這樣，搞定了,and there you have it — used after explaining something simple
Everyday Slang,bits and bobs,零零碎碎的東西,miscellaneous small items
Everyday Slang,not my cup of tea,不是我的菜,something you don't particularly enjoy or like
Everyday Slang,the full monty,全套 / 一切,"the whole thing, everything included"
Everyday Slang,up for it,有興趣 / 想參與,willing and enthusiastic about doing something
Everyday Slang,fancy,喜歡 / 想要,to want something or find someone attractive
Everyday Slang,smashing,太棒了,"excellent, wonderful — quite traditional but still used"
Everyday Slang,cracking,很棒,excellent or very good — a cracking result
Everyday Slang,wicked,超厲害,excellent — especially used by younger people
Everyday Slang,spot on,完全正確,exactly right or perfectly accurate
Everyday Slang,bang on,完全正確,exactly right or precisely on target
Everyday Slang,do my head in,讓我頭痛,to frustrate or annoy someone greatly
Everyday Slang,can't be bothered,懶得做,don't want to make the effort to do something
Everyday Slang,I'm off,我走了,I am leaving now
Everyday Slang,alright?,你好嗎？,used as a greeting equivalent to how are you — not asking if something is wrong
Intensifiers,absolutely,當然 / 完全,used to strongly agree — absolutely! means yes definitely
Intensifiers,quite,相當 / 蠻,can mean fairly OR very depending on context — quite good can mean mediocre or excellent
Intensifiers,rather,相當 / 挺,similar to quite — rather good means fairly good with a slightly formal tone
Intensifiers,terribly,非常,used as intensifier — terribly sorry means very sorry
Intensifiers,awfully,非常,positive intensifier — awfully kind means very kind
Intensifiers,jolly,非常,old-fashioned but still used — jolly good means very good
Intensifiers,bloody,非常 / 該死的,common intensifier — bloody brilliant means very brilliant — mild profanity
Intensifiers,blooming,非常,mild intensifier avoiding stronger language
Intensifiers,flipping,非常,mild intensifier — flipping brilliant
Intensifiers,dead,非常 / 超級,intensifier especially in northern England — dead good means very good
Intensifiers,well,非常 / 很,intensifier — well good means very good
Intensifiers,proper,很 / 真正的,very or genuinely — that's proper good
Intensifiers,blimey,天哪,expression of surprise or shock
Intensifiers,crikey,天啊,mild expression of surprise — old-fashioned but still used
Intensifiers,innit,不是嗎,isn't it — used as a general question tag especially among younger speakers
Intensifiers,I reckon,我認為,I think — more informal and common in British English than American
Intensifiers,I suppose,我想 / 大概,used to express uncertain or reluctant agreement
Intensifiers,fair enough,有道理,accepting a point as reasonable — used constantly in British conversation
Intensifiers,to be fair,說公平點,used to acknowledge a point from the other side
Intensifiers,sort of,有點 / 算是,used to hedge or soften a statement
Intensifiers,cos,因為,informal spelling of because — very common in British speech and writing
Social,Are you alright?,你還好嗎？,standard British greeting — does not mean something is wrong
Social,Mustn't grumble.,不能抱怨。,things could be worse — a very British expression of mild contentment
Social,It's not ideal.,這不太理想。,understated way of saying something is quite problematic
Social,It could be worse.,可以更糟。,a British way of accepting a difficult situation with quiet resilience
Social,That's a bit much.,有點過分了。,something has gone too far or exceeded acceptable limits
Social,Each to their own.,各有所好。,everyone has different tastes and that's fine
Social,Swings and roundabouts.,有得有失。,what you gain on one side you lose on another
Social,It's all gone pear-shaped.,全搞砸了。,everything has gone wrong
Social,Touch wood.,敲木頭祈求好運,said while touching wood to avoid bad luck — knock on wood
Social,Keep your chin up.,振作起來。,stay positive during a difficult time
Social,Mind how you go.,路上小心。,take care — used as a friendly farewell
Social,Mind the gap.,注意月台空隙,famous London Underground announcement
Social,After you.,您先請。,politely letting someone go first through a door
Social,I beg your pardon?,請問你說什麼？,asking someone to repeat — can also express mild offence
Social,How do you do.,你好，幸會。,very formal greeting when meeting someone for the first time
Social,Go on then.,那就這樣吧。,reluctant or playful agreement to do something
Social,Right then.,好，那就這樣。,used to move on or signal a transition in conversation
Pub & Food,round,一輪酒,taking turns to buy drinks for the whole group
Pub & Food,It's my round.,這輪我請。,I will buy this set of drinks for the group
Pub & Food,last orders,最後點餐時間,the final call to buy drinks before the pub closes
Pub & Food,the local,附近常去的酒吧,your regular neighbourhood pub
Pub & Food,pint,一品脫啤酒,the standard beer measure in a British pub — about 568ml
Pub & Food,cheers,唔該 / 飲杯,the standard drinking toast
Pub & Food,on the house,免費招待,a free drink provided by the bar
Pub & Food,crisps,薯片,potato chips — not to be confused with chips which are french fries
Pub & Food,chips,薯條,deep fried potato — what Americans call french fries
Pub & Food,biscuit,餅乾,a sweet dry baked snack — what Americans call a cookie
Pub & Food,full English,英式早餐,"a full cooked breakfast with eggs, bacon, sausages, beans and toast"
Pub & Food,fry-up,煎炸早餐,informal term for a full cooked English breakfast
Pub & Food,beans on toast,吐司豆子,baked beans on toast — a classic simple British meal
Pub & Food,jacket potato,烤馬鈴薯,"a baked potato, often served with cheese or beans"
Pub & Food,bangers and mash,香腸配馬鈴薯泥,sausages served with mashed potato — a British classic
Pub & Food,Sunday roast,週日烤肉大餐,traditional Sunday meal of roasted meat with potatoes and vegetables
Pub & Food,pudding,甜點 / 布丁,can mean dessert in general or a specific steamed pudding
Pub & Food,cuppa,一杯茶,a cup of tea — do you want a cuppa?
Pub & Food,builder's tea,濃茶,strong tea with milk — the way most British workers drink it
Pub & Food,sarnie,三明治,informal word for a sandwich
Pub & Food,nosh,食物 / 吃東西,"food, or to eat — informal and casual"
Pub & Food,grub,食物,food — informal
Work & Formal,I'll action that.,我來處理這件事。,British corporate speak for I will do or handle that
Work & Formal,going forward,從現在開始,in the future — overused in British business language
Work & Formal,touch base,聯絡一下,to briefly make contact with someone
Work & Formal,circle back,稍後跟進,to return to a topic later
Work & Formal,in the loop,知情 / 保持聯繫,informed and aware of what is happening
Work & Formal,heads up,事先提醒,an advance warning or notification
Work & Formal,on the same page,達成共識,in agreement and understanding
Work & Formal,hit the ground running,立即投入,to start something energetically without delay
Work & Formal,bandwidth,精力 / 時間,capacity or availability — I don't have the bandwidth means I'm too busy
Work & Formal,at the end of the day,說到底,ultimately or when everything is considered
Work & Formal,I'll come back to you on that.,我稍後回覆你。,I will get back to you with an answer
Work & Formal,let's park that,先把這個放一放,let's set that topic aside for now
Work & Formal,I hear what you're saying.,我聽到你說的了。,I understand your point — but often implies I still disagree
Work & Formal,with respect,恕我直言,a polite but firm way to introduce a disagreement
Work & Formal,that said,話雖如此,introducing a contrasting point after acknowledging the previous one
Work & Formal,for what it's worth,僅供參考,my opinion may not be valuable but here it is
